platform,model,impl,device,kernel,size,scenario,iter,lat_ns,e2e_ns
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,2,1519255,2714594
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,3,1757970,1802975
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,4,1882977,1861703
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,0,1587069,1716815
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,1,1527106,1699111
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,2,1500178,1627417
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,3,1645558,1634582
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,4,1570523,1621430
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,0,2482517,2293865
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,1,1857015,2213080
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,2,1866426,2418518
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,3,1876904,2154124
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,4,1957069,2294473
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,0,2274025,2312481
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,1,1886606,2182418
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,2,1893106,2160263
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,3,1861209,2114156
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,4,1847420,2115393
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,0,4497747,4541216
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,1,4390777,4547299
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,2,4271581,4543032
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,3,4414606,4548680
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,4,4269993,4561060
P1,cpp,serial,cpu,gemm,256,warm,0,2156660,2219594
P1,cpp,serial,cpu,gemm,256,warm,1,2151441,2199809
P1,cpp,serial,cpu,gemm,256,warm,2,2528492,2529927
P1,cpp,serial,cpu,gemm,256,warm,3,2509129,2362511
P1,cpp,serial,cpu,gemm,256,warm,4,2166114,2219028
P1,opencl,pocl,cpu,gemm,256,cold,0,24800419,24446304
P1,opencl,pocl,cpu,gemm,256,cold,1,24554762,24480727
P1,opencl,pocl,cpu,gemm,256,cold,2,24232240,24744737
P1,opencl,pocl,cpu,gemm,256,cold,3,24699524,24552371
P1,opencl,pocl,cpu,gemm,256,cold,4,24328390,24407915
P1,opencl,pocl,cpu,gemm,256,warm,0,24485515,24475019
P1,opencl,pocl,cpu,gemm,256,warm,1,28031677,24596631
P1,opencl,pocl,cpu,gemm,256,warm,2,24488768,24973677
P1,opencl,pocl,cpu,gemm,256,warm,3,24378075,24350961
P1,opencl,pocl,cpu,gemm,256,warm,4,24516327,24586179
P1,opencl,intel-ocl,cpu,gemm,256,warm,0,1848944,2105316
