platform,model,impl,device,kernel,size,scenario,n,min,median,mean,std,cov,p99,p999,max,iqr,e2e_median,tail999,maxmed,label,family,gflops
P1,opencl,intel-ocl,cpu,kalman,32768,intf,500.0,4624.383,4890.6939999999995,5089.563708000001,546.6632578933505,0.1074086678655935,6975.378009999999,8439.310809000077,9584.171,375.8972499999991,7523.077499999999,1.725585532237363,1.959675048162899,OpenCL Intel,OpenCL,6.700071605379524
P1,opencl,intel-ocl,cpu,kalman,32768,iso,500.0,4599.57,4806.896,4995.606744000001,556.2284346688389,0.11134351905039361,6895.92725,8111.882267000016,8361.266,210.67525000000023,7169.377,1.6875510239872085,1.7394314335071948,OpenCL Intel,OpenCL,6.816873092324028
P1,opencl,pocl,cpu,conv,512,intf,1000.0,7207.898,7315.2919999999995,7559.35034,1036.9610336663209,0.1371759459512391,14189.79254,16360.231230000147,17979.84,132.87575000000015,7611.508,2.236442677886289,2.4578431045541316,OpenCL PoCL,OpenCL,1.7917534939138453
P1,opencl,pocl,cpu,conv,512,iso,1000.0,7210.913,7343.148499999999,7635.986776000001,1200.2889575102784,0.15718845418679891,15215.118489999997,17323.221076000034,17704.915,179.58175000000028,7562.856,2.3590999250525897,2.411079525356188,OpenCL PoCL,OpenCL,1.7849564120894466
P1,opencl,pocl,cpu,conv,1024,intf,500.0,29306.57,29870.4625,31068.194013999997,4161.716489748381,0.13395424555006388,54517.59839999997,59806.563111000025,60213.553,1065.2510000000002,31381.6675,2.0021974253328025,2.0158225872799926,OpenCL PoCL,OpenCL,1.7552054977387779
P1,opencl,pocl,cpu,conv,1024,iso,500.0,29229.494,29654.817000000003,30340.329493999998,2700.6362371608952,0.08901143402859102,44781.59185999996,56624.48981600013,58606.925,632.2047500000008,30982.325,1.9094533551159707,1.976303714839987,OpenCL PoCL,OpenCL,1.7679690958807803
P1,opencl,pocl,cpu,gemm,256,intf,1000.0,23937.152,24437.7595,25626.211049999998,4045.9485569433405,0.15788321375521258,45280.10560999999,55405.51830500023,57939.287,777.5105000000003,24623.7295,2.2672094102980362,2.3708919387638625,OpenCL PoCL,OpenCL,1.3730568058008754
P1,opencl,pocl,cpu,gemm,256,iso,1000.0,23954.333,24521.0925,25320.73816,3029.8269407337925,0.11965792314538876,40396.976749999994,54071.19994900007,54842.377,822.8887500000019,24620.5545,2.205089351096411,2.236538889937306,OpenCL PoCL,OpenCL,1.3683905804767875
P1,opencl,pocl,cpu,gemm,512,intf,300.0,194435.987,199313.044,203994.45265666663,14297.617462341637,0.07008826600988645,259525.84241999994,275032.4124150001,276162.607,7127.270749999996,199549.623,1.3799017209079407,1.3855721705800652,OpenCL PoCL,OpenCL,1.3468032528769165
P1,opencl,pocl,cpu,gemm,512,iso,300.0,192735.142,198109.627,203075.15924666668,13830.487583618708,0.06810526523738636,261102.84943,266902.58584000013,268306.642,8031.430999999982,198736.3825,1.3472469252592159,1.3543341939662528,OpenCL PoCL,OpenCL,1.354984409717757
P1,opencl,pocl,cpu,kalman,4096,intf,1000.0,939.29,986.2764999999999,1012.8485789999999,143.41533287130892,0.141596025156006,1630.4777299999996,2131.9577550001973,4322.52,31.00075000000004,1087.534,2.161622785294182,4.382665510128246,OpenCL PoCL,OpenCL,4.1529936077763185
